id,address,data,item_data,item_lookup,check_type,og_name,area,location,type,valid,reqs
1,c87075,844305005bfd00,005b,05b,pickup,Wisdom Seed,Reeve,Elder House 1F Pot,search,valid,thief_key
2,c8707c,47c306805c0001,805c,85c,pickup,Antidote Herb,Reeve,Elder House 2F Drawer,search,valid,thief_key
3,C87083,00ca160068fe00,0068,068,pickup,Small Medal,Reeve,Field,search,valid,
4,C8708A,ca0205006dff00,006d,06d,pickup,Muscle Guidebook,Reeve,House Bookshelf,search,valid,
5,C87091,47cd0d00720401,0072,072,pickup,Pachisi Ticket,Portoga,Inn Drawer,search,valid,
6,C87098,80cd0900680501,0068,068,pickup,Small Medal,Portoga,Stable,search,valid,
7,C8709F,4a8406006f0601,006f,06f,pickup,Tragic Tale,Portoga,Hidden Passage Right Bookshelf,search,valid,
8,C870A6,44c30700680701,0068,068,pickup,Small Medal,Portoga,Hidden Passage Pot,search,valid,
9,C870AD,9b420a00590801,0059,059,pickup,Strength Seed,Portoga,House Sack,search,valid,
10,C870B4,c14410005a0201,005a,05a,pickup,Stamina Seed,Portoga,Castle Vault Middle,chest,valid,thief_key
11,C870BB,014510001c0301,001c,01c,pickup,Mist Staff,Portoga,Castle Vault Right,chest,valid,thief_key
12,C870C2,81441000490101,0049,049,pickup,Angry Tattoo,Portoga,Castle Vault Left,chest,valid,thief_key
13,C870C9,01440700680a01,0068,068,pickup,Small Medal,Merchant Town,Form 3 Throne Right,chest,no_keys,
14,C870D0,c14207804d0901,804d,84d,pickup,Golden Beak,Merchant Town,Form 3 Throne Left,chest,no_keys,
15,C870D7,c0c60d00720b01,0072,072,pickup,Pachisi Ticket,Merchant Town,Form 2 Pool,search,no_keys,
16,C870DE,47cc0700720c01,0072,072,pickup,Pachisi Ticket,Merchant Town,Form 3 Inn Drawer,search,no_keys,thief_key
17,C870E5,47cc0700720c01,0072,072,pickup,Pachisi Ticket,Merchant Town,Form 4 Inn Drawer,search,no_keys,
18,C870EC,07430680470d01,8047,847,pickup,Garter Belt,Merchant Town,Form 3 Theater Left Drawer,search,no_keys,
19,C870F3,47430600400e01,0040,040,pickup,Bunny Ears,Merchant Town,Form 3 Theater Right Drawer,search,no_keys,
20,C870FA,074306004b0d01,004b,04b,pickup,Pacifier,Merchant Town,Form 4 Theater Left Drawer,search,no_keys,
21,C87101,87420600680f01,0068,068,pickup,Small Medal,Merchant Town,House Drawer,search,no_keys,
22,C87108,c0c21000721001,0072,072,pickup,Pachisi Ticket,Noaniels,Town Wall,search,valid,
23,C8710F,84c70c04591101,0459,059,pickup,Strength Seed,Noaniels,House E Pot,search,valid,
24,C87116,47c306002b1201,002b,02b,pickup,Leather Kilt,Noaniels,Inn 2F Left Room Drawer,search,valid,
25,C8711D,07c608805f1301,805f,85f,pickup,Full Moon Herb,Noaniels,Inn 2F Right Room Right Drawer,search,valid,
26,C87124,04c30680591401,8059,859,pickup,Agility Seed,Noaniels,House W 1F Pot,search,valid,
27,C8712B,8a8306006f1501,006f,06f,pickup,Tragic Tale,Noaniels,House W 2F Bookshelf,search,valid,
28,C87132,c8871500631601,0063,063,pickup,Moth Powder,Ashalam,Inn Drawer,search,valid,thief_key
29,C87139,4a050680701701,8070,870,pickup,Joke Book,Ashalam,House 2F Bookshelf,search,valid,"thief_key, magic_key"
30,C87140,00440700681801,0068,068,pickup,Small Medal,Ashalam,House 2F Pool,search,valid,"thief_key, magic_key"
31,C87147,08830500721901,0072,072,pickup,Pachisi Ticket,Ashalam,House 1F Drawer,search,valid,
32,C8714E,47c80f00721a01,0072,072,pickup,Pachisi Ticket,Baharata,House 1F Drawer,search,valid,
33,C87155,87420880261b01,8026,826,pickup,Traveler Clothes,Baharata,House 1 2F Right Drawer,search,valid,
34,C8715C,07c60500681c01,0068,068,pickup,Small Medal,Baharata,House 2 2F Right Room Drawer,search,valid,magic_key
35,C87163,81c90500681d01,0068,068,pickup,Small Medal,Lancel,Interior Corridor,search,valid,final_key
36,C8716A,c0470f00681e01,0068,068,pickup,Small Medal,Lancel,Exterior Corridor,chest,valid,
37,C87171,07440700721f01,0072,072,pickup,Pachisi Ticket,Lancel,House Drawer,search,valid,
38,C87178,00430904682101,0468,068,pickup,Small Medal,Mercado,W Room,search,valid,
39,C8717F,a0c31a80422201,8042,842,pickup,Wizard Ring,Mercado,SW Foundation,search,valid,
40,C87186,00c81a00722301,0072,072,pickup,Pachisi Ticket,Mercado,SE Table,search,valid,
41,C8718D,00c70f86302c01,8630,830,pickup,Dark Outfit,Mercado,Secret Area NE,search,no_keys,zoma
42,C87194,ca0207006b2401,006b,06b,pickup,Kindly Book,Mercado,House 2F Bookshelves 1st,search,valid,thief_key
43,C8719B,0a0307006c2501,006c,06c,pickup,Lady Manual,Mercado,House 2F Bookshelves 2nd,search,valid,thief_key
44,C871A2,4a0307806c2601,806c,86c,pickup,Smart Book,Mercado,House 2F Bookshelves 3rd,search,valid,thief_key
45,C871A9,8a0307806d2701,806d,86d,pickup,Hero Guide,Mercado,House 2F Bookshelves 4th,search,valid,thief_key
46,C871B0,ca030700702801,0070,070,pickup,Defy Book,Mercado,House 2F Bookshelves 5th,search,valid,thief_key
47,C871B7,47440700722901,0072,072,pickup,Pachisi Ticket,Mercado,House 2F Left Drawer,search,valid,thief_key
48,C871BE,87440700302a01,0030,030,pickup,Party Dress,Mercado,House 2F Right Drawer,search,valid,thief_key
49,C871C5,87c306804b2b01,804b,84b,pickup,Rockstar Ring,Mercado,Inn Drawer,search,valid,
50,C871CC,c1cc1104452d01,0445,045,pickup,Life Ring,Rimuldar,House S,chest,valid,thief_key
51,C871D3,87c60508722e01,0872,072,pickup,Pachisi Ticket,Rimuldar,House NW Left Drawer,search,valid,
52,C871DA,c7c60508682f01,0868,068,pickup,Small Medal,Rimuldar,House NW Right Drawer,search,valid,
53,C871E1,07cc0f00503001,0050,050,pickup,Hard Heart,Rimuldar,Inn Drawer,search,valid,thief_key
54,C871E8,04c607085b3101,085b,05b,pickup,Wisdom Seed,Rimuldar,House NE Pot,search,valid,
55,C871EF,c0c20500683201,0068,068,pickup,Small Medal,Rimuldar,House NE Right Drawer,search,valid,
56,C871F6,44430500683301,0068,068,pickup,Small Medal,Rimuldar,House Top Pot,search,valid,
57,C871FD,44c30600593401,0059,059,pickup,Strength Seed,Rimuldar,House Bottom Pot,search,valid,
58,C87204,47c204804d3501,804d,84d,pickup,Golden Beak,Rimuldar,House Left Drawer,search,valid,
59,C8720B,c7c40400443601,0044,044,pickup,Zen Book,Rimuldar,House Right Drawer,search,valid,
60,C87212,80471a80585200,8058,858,pickup,Orichalcum,Domdora,Stable Exterior,search,valid,
61,C87219,c0491706683701,0668,068,pickup,Small Medal,Domdora,Stable Interior,search,valid,
62,C87220,04031900683801,0068,068,pickup,Small Medal,Domdora,House Bookshelf Left,search,valid,
63,C87227,8a031980703901,8070,870,pickup,Joke Book,Domdora,House Bookshelf Right,search,valid,
64,C8722E,08840800403a01,0040,040,pickup,Bunny Ears,Domdora,House 1 2F Drawer,search,valid,
65,C87235,888305004b3b01,004b,04b,pickup,Pacifier,Domdora,House 2 2F Drawer,search,valid,
66,C8723C,60811600683c01,0068,068,pickup,Small Medal,Domdora,Well,search,valid,
67,C87243,c4491506683d01,0668,068,pickup,Small Medal,Isis Town,Shop SE Pot,search,valid,
68,C8724A,00c60a86593e01,8659,859,pickup,Agility Seed,Isis Town,Outside Well,search,valid,
69,C87251,c0431606683f01,0668,068,pickup,Small Medal,Isis Town,Graveyard Middle Cross,search,valid,
70,C87258,5bc70f00724201,0072,072,pickup,Pachisi Ticket,Isis Town,Nighttime House 1F Chest,search,valid,
71,C8725F,888205002c4001,002c,02c,pickup,Boxer Shorts,Isis Town,House 2F Left Drawer,search,valid,
72,C87266,8a8205806c4101,806c,86c,pickup,Smart Book,Isis Town,Nighttime House 2F Bookshelf,search,valid,magic_key
73,C8726D,c14312806faa01,806f,86f,pickup,Brave Book,Isis Town,Well,chest,valid,
74,C87274,804408805a4301,805a,85a,pickup,Luck Seed,Luzami,Graveyard,search,valid,
75,C8727B,c0c90600684401,0068,068,pickup,Small Medal,Luzami,Foundation NE,search,valid,
76,C87282,00430580514701,8051,851,pickup,Sage's Stone,Luzami,Telescope,search,no_keys,zoma
77,C87289,4a8304006d4501,006d,06d,pickup,Muscle Guidebook,Luzami,North House Left Bookshelf,search,valid,
78,C87290,ca8304006e4601,006e,06e,pickup,Lucky Book,Luzami,North House Right Bookshelf,search,valid,
79,C87297,01c80c80044801,8004,804,pickup,Poison Dagger,Kazave,Nighttime House Top,chest,valid,magic_key
80,C8729E,01c80d00014901,0001,001,pickup,Club,Kazave,Nighttime House Bottom,chest,valid,magic_key
81,C872A5,80850700684a01,0068,068,pickup,Small Medal,Kazave,Graveyard Right Cross,search,valid,
82,C872AC,c7c80c062c4b01,062c,02c,pickup,Boxer Shorts,Kazave,Nighttime House Right Drawer,search,valid,magic_key
83,C872B3,47491100724c01,0072,072,pickup,Pachisi Ticket,Kazave,Inn Right Drawer,search,valid,
84,C872BA,874206003e4d01,003e,03e,pickup,Fur Hood,Kazave,Floor 2F Right Drawer,search,valid,
85,C872C1,45c407805b4e01,805b,85b,pickup,Life Nut,Kazave,Floor 2F Top Barrel,search,valid,
86,C872C8,40c50600684f01,0068,068,pickup,Small Medal,Elf Village,Throne Exterior NW,search,valid,
87,C872CF,a0470f00685201,0068,068,pickup,Small Medal,Tedanki,Poison Bog,search,valid,
88,C872D6,40c814801a5501,801a,81a,pickup,Beast Claw,Tedanki,Church Interior,search,no_keys,zoma
89,C872DD,41430a00535001,0053,053,pickup,Darkness Lamp,Tedanki,Floor 2F,chest,valid,
90,C872E4,874207803f5401,803f,83f,pickup,Black Hood,Tedanki,Floor 2F Drawer,search,valid,
91,C872EB,e0c208805b5101,805b,85b,pickup,Life Nut,Tedanki,Crypt,search,valid,
92,C872F2,00c90b00685601,0068,068,pickup,Small Medal,Muor,Exterior Corridor,search,valid,final_key
93,C872F9,c7c316002b5701,002b,02b,pickup,Leather Kilt,Muor,Inn Drawer,search,valid,
94,C87300,40c307805b5801,805b,85b,pickup,Life Nut,Muor,Church,search,valid,
95,C87307,44420a00725901,0072,072,pickup,Pachisi Ticket,Muor,NE House 2F Bottom Pot,search,valid,thief_key
96,C8730E,44c20900685a01,0068,068,pickup,Small Medal,Muor,NE House 2F Top Pot,search,valid,thief_key
97,C87315,880814803d5b01,803d,83d,pickup,Wooden Helmet,Zipangu,NE House Drawer,search,valid,
98,C8731C,c8861e801e5c01,801e,81e,pickup,Clothes,Zipangu,S House Drawer,search,valid,
99,C87323,044317806a5d01,806a,86a,pickup,Mystic Nut,Zipangu,W House Bottom Pot,search,valid,
100,C8732A,9bc31400636601,0063,063,pickup,Moth Powder,Zipangu,W House Sack,search,valid,
101,C87331,84c20300685e01,0068,068,pickup,Small Medal,Zipangu,Underground Bottom Left Pot,search,valid,
102,C87338,04410500595f01,0059,059,pickup,Strength Seed,Zipangu,Underground Top Right Pot,search,valid,
103,C8733F,c44306806a6001,806a,86a,pickup,Mystic Nut,Zipangu,Interior NW Top Right Pot,search,valid,
104,C87346,84c70900596101,0059,059,pickup,Strength Seed,Zipangu,Interior NE Left Top Pot,search,valid,
105,C8734D,84c80a00686201,0068,068,pickup,Small Medal,Zipangu,Interior NE Right Middle Pot,search,valid,
106,C87354,c8070500366301,0036,036,pickup,Scale Shield,Zipangu,Interior NE Left Drawer,search,valid,
107,C8735B,880805001f6401,001f,01f,pickup,Training Suit,Zipangu,Interior NE Right Drawer,search,valid,
108,C87362,00041180436501,8043,843,pickup,Starry Ring,Zipangu,Well Pachisi Area,search,no_keys,zoma
109,C87369,c4430704726901,0472,072,pickup,Pachisi Ticket,Pirate Hideout,Storage Top Left Pot,search,valid,
110,C87370,44440704726a01,0472,072,pickup,Pachisi Ticket,Pirate Hideout,Storage Top Right Pot,search,valid,
111,C87377,05c40704686b01,0468,068,pickup,Small Medal,Pirate Hideout,Storage Bottom Middle Barrel,search,valid,
112,C8737E,07c30684506c01,8450,850,pickup,Tube Socks,Pirate Hideout,Room NW Drawer,search,valid,thief_key
113,C87385,41c20800596701,0059,059,pickup,Strength Seed,Pirate Hideout,Secret Area Top Left,chest,valid,
114,C8738C,41420980654b00,8065,865,pickup,Red Orb,Pirate Hideout,Secret Area Bottom Left,chest,valid,
115,C87393,c14209804b6801,804b,84b,pickup,Rockstar Ring,Pirate Hideout,Secret Area Right,chest,valid,
116,C8739A,00430700686d01,0068,068,pickup,Small Medal,Pirate Hideout,Prison,search,valid,"thief_key, final_key"
117,C873A1,c0450d800e6e01,800e,80e,pickup,Bolt Staff,Sioux,Outside Well Below,search,valid,
118,C873A8,c0450c00686f01,0068,068,pickup,Small Medal,Sioux,Outside Well Above,search,valid,
119,C873AF,84420680597001,8059,859,pickup,Agility Seed,Sioux,House S Right Pot,search,valid,
120,C873B6,44c20500687101,0068,068,pickup,Small Medal,Sioux,House N Pot,search,valid,
121,C873BD,47c40f00727201,0072,072,pickup,Pachisi Ticket,Sioux,Well Drawer,search,valid,
122,C873C4,87420600687301,0068,068,pickup,Small Medal,Sailor Bone Hut,Left Drawer,search,valid,
123,C873CB,c7420680407401,8040,840,pickup,Silk Hat,Sailor Bone Hut,Right Drawer,search,valid,
124,C873D2,80c51080615600,8061,861,pickup,Fairy Flute,Kol,Below Bath,search,valid,
125,C873D9,a00709806a7501,806a,86a,pickup,Mystic Nut,Kol,Upper Trees,search,valid,
126,C873E0,80850c00687601,0068,068,pickup,Small Medal,Kol,Above Bath,search,valid,
127,C873E7,00c51900727701,0072,072,pickup,Pachisi Ticket,Kol,Tavern Center,search,valid,thief_key
128,C873EE,080313801e7801,801e,81e,pickup,Clothes,Kol,House W Left Drawer,search,valid,thief_key
129,C873F5,48031300727901,0072,072,pickup,Pachisi Ticket,Kol,House W Right Drawer,search,valid,
130,C873FC,5bc20300727a01,0072,072,pickup,Pachisi Ticket,Kol,Upstairs Shop Left Sack,search,valid,
131,C87403,dbc20300687b01,0068,068,pickup,Small Medal,Kol,Upstairs Shop Right Sack,search,valid,
132,C8740A,c0421300687c01,0068,068,pickup,Small Medal,Kol,Well Pachisi Area,search,valid,
133,C87411,054405005c8401,005c,05c,pickup,Medical Herb,Aliahan,Hero’s House 1F,search,valid,
134,c87418,87440400598601,0059,059,pickup,Strength Seed,Aliahan,Hero’s House 2F,search,valid,
135,C8741F,c7c30500688701,0068,068,pickup,Small Medal,Aliahan,House 2F,search,valid,
136,C87426,01c20f80497f01,8049,849,pickup,Hero Ring,Aliahan,Vault Top Right,chest,valid,magic_key
137,C8742D,81411080598001,8059,859,pickup,Agility Seed,Aliahan,Vault Bottom Left,chest,valid,magic_key
138,C87434,c1411000598101,0059,059,pickup,Strength Seed,Aliahan,Vault Middle Bottom,chest,valid,magic_key
139,C8743B,01421000178201,0017,017,pickup,Rune Staff,Aliahan,Vault Bottom Right,chest,valid,magic_key
140,C87442,45471c805c8801,805c,85c,pickup,Antidote Herb,Aliahan,Right Barrel,search,valid,
141,C87449,05471c00688d01,0068,068,pickup,Small Medal,Aliahan,Left Barrel,search,valid,
142,C87450,c7410a00688901,0068,068,pickup,Small Medal,Aliahan,Kitchen Drawer,search,valid,
143,C87457,87c210805a8a01,805a,85a,pickup,Luck Seed,Aliahan,Castle 2F Drawer,search,valid,
144,C8745E,44c30500598c01,0059,059,pickup,Strength Seed,Aliahan,Prison Right Cell,search,valid,final_key
145,C87465,40c80600689001,0068,068,pickup,Small Medal,Romaly,Castle Exterior,search,valid,
146,C8746C,004b0b00729c01,0072,072,pickup,Pachisi Ticket,Romaly,Nighttime Right Trees,search,valid,
147,C87473,47c914805f9101,805f,85f,pickup,Full Moon Herb,Romaly,Inn Drawer,search,valid,thief_key
148,C8747A,874305803c9201,803c,83c,pickup,Leather Hat,Romaly,House Drawer,search,valid,
149,C87481,84c30700689301,0068,068,pickup,Small Medal,Romaly,House Pot,search,valid,
150,C87488,87440400509401,0050,050,pickup,Hard Heart,Romaly,Church Drawer,search,valid,
151,C8748F,4a0504806c9501,806c,86c,pickup,Smart Book,Romaly,Church Bookshelf,search,valid,
152,C87496,474206805c9601,805c,85c,pickup,Antidote Herb,Romaly,House Drawer,search,valid,
153,C8749D,00c70900689701,0068,068,pickup,Small Medal,Romaly,Castle 1F Courtyard,search,valid,magic_key
154,C874A4,40481800689801,0068,068,pickup,Small Medal,Romaly,Castle 1F Flowers,search,valid,
155,C874AB,c0030a00689901,0068,068,pickup,Small Medal,Romaly,Castle Leftside 4F Ground,search,valid,final_key
156,C874B2,c7c20900729a01,0072,072,pickup,Pachisi Ticket,Romaly,Castle Rightside 4F Drawer,search,valid,
157,C874B9,8a820980719b01,8071,871,pickup,Cheater Guide,Romaly,Castle Rightside 4F Bookshelf,search,valid,
158,C874C0,01430880188e01,8018,818,pickup,Assassin Dagger,Romaly,Castle B1 Left,chest,valid,final_key
159,C874C7,41430880378f01,8037,837,pickup,Expel Shield,Romaly,Castle B1 Right,chest,valid,final_key
160,C874CE,e0441500689d01,0068,068,pickup,Small Medal,Edinbear,Castle Exterior Rightside,search,valid,
161,C874D5,c0c61600689e01,0068,068,pickup,Small Medal,Edinbear,Castle Exterior Leftside,search,valid,
162,C874DC,10430780524200,8052,852,pickup,Thirsty Pitcher,Edinbear,Castle B1 Puzzle,chest,valid,
163,C874E3,8a8607006c9f01,006c,06c,pickup,Lady Manual,Edinbear,Castle 1F NE Room Bookshelf,search,valid,
164,C874EA,47c707802fa001,802f,82f,pickup,Slick Suit,Edinbear,Castle 1F NE Room Left,search,valid,
165,C874F1,87c7070030a101,0030,030,pickup,Party Dress,Edinbear,Castle 1F NE Room Right,search,valid,
166,C874F8,81c308842ea201,842e,82e,pickup,Silk Robe,Isis Castle,Floor 1F Vault Leftside Top Left,search,valid,magic_key
167,C874FF,8143098448a401,8448,848,pickup,Ruby Ring,Isis Castle,Floor 1F Vault Leftside Bottom Left,search,valid,magic_key
168,C87506,c14309045ba501,045b,05b,pickup,Wisdom Seed,Isis Castle,Floor 1F Vault Leftside Bottom Right,search,valid,magic_key
169,C8750D,c1c908044ea601,044e,04e,pickup,Golden Tiara,Isis Castle,Floor 1F Vault Rightside Top Left,search,valid,magic_key
170,C87514,01ca08845ba701,845b,85b,pickup,Life Nut,Isis Castle,Floor 1F Vault Rightside Top Right,search,valid,magic_key
171,C8751B,c149090468a801,0468,068,pickup,Small Medal,Isis Castle,Floor 1F Vault Rightside Bottom Left,search,valid,magic_key
